,Observation,Reference,Observation_Kalman,Reference_Kalman
0,1314.1287841796875,1430.68994140625,1375.754074532645,1375.754074532645
1,1382.5758056640625,1497.2041015625,1375.8216164250352,14.823802985767326
2,1379.2491455078125,1490.437255859375,1375.92112745974,43.27168345217566
3,1376.0076904296875,1488.92626953125,1375.9251735022026,69.59394893271275
4,1374.686767578125,1487.6571044921875,1375.8476921962654,93.07579445621926
5,1371.58544921875,1485.4976806640625,1375.5226184241938,113.29629422927503
6,1383.873291015625,1494.5673828125,1376.2559285092098,131.24467790500412
7,1387.7337646484375,1503.439208984375,1377.3729721102343,146.3174005582594
8,1381.2576904296875,1507.2479248046875,1377.7808779828986,158.26508630243595
9,1380.385498046875,1498.7813720703125,1378.0702857477509,166.53444887889003
10,1374.5694580078125,1494.1226806640625,1377.6644865401795,173.19155493169833
11,1377.4317626953125,1494.601806640625,1377.6366405254178,178.83300267014403
12,1371.596435546875,1489.21533203125,1376.8964760514668,182.48789349834513
13,1376.51611328125,1494.205322265625,1376.8490231959165,186.41232757793256
14,1382.76806640625,1494.1923828125,1377.5974982761188,188.94367279004362
15,1384.1444091796875,1487.7928466796875,1378.4338249742998,190.056180291481
16,1371.1568603515625,1485.8489990234375,1377.4970951525386,191.26643321453264
17,1377.8992919921875,1494.7418212890625,1377.549167535138,193.52406665657847
18,1366.2183837890625,1479.404052734375,1376.0757830957762,192.3724748151443
19,1377.2083740234375,1493.2618408203125,1376.2235412603727,194.81140407616755
20,1381.3719482421875,1485.562744140625,1376.8968638495894,194.28591346057982
21,1376.06787109375,1488.2264404296875,1376.7882440647377,194.99668076893605
22,1380.5306396484375,1492.3902587890625,1377.2792840077907,195.8166129952771
23,1381.2396240234375,1488.5030517578125,1377.799469911869,195.5130879275086
24,1376.6566162109375,1483.262451171875,1377.6492378231515,194.98000135466268
25,1377.13525390625,1491.837158203125,1377.581632269527,196.22496673781063
26,1374.0062255859375,1486.426513671875,1377.1111374322038,195.60180495072441
27,1381.192626953125,1492.7259521484375,1377.6484119887837,196.49779080033474
28,1372.021728515625,1479.21728515625,1376.9075424024095,194.76963711199923
29,1367.6297607421875,1489.17041015625,1375.6856931576528,196.11818941207972
30,1373.4090576171875,1499.29736328125,1375.3858249285358,197.48072858211535
31,1367.1483154296875,1490.44775390625,1374.300697568626,196.33672489311098
32,1376.11376953125,1501.2095947265625,1374.5395534233278,197.77080459403163
33,1372.8516845703125,1500.2503662109375,1374.3171780280286,197.65680706654913
34,1372.5552978515625,1494.4407958984375,1374.0850407456965,196.90069143175162
35,1373.358154296875,1499.734375,1373.9892661016431,197.60517777303704
36,1368.41455078125,1490.48583984375,1373.2547212600748,196.3918553980524
37,1370.3892822265625,1493.1014404296875,1372.8771529212709,196.74047290334337
38,1375.93505859375,1487.9876708984375,1373.2800880186458,196.06963761576134
39,1371.236083984375,1493.91650390625,1373.010749944832,196.85313084235153
40,1378.9422607421875,1489.0196533203125,1373.792350909144,196.2095723459702
41,1369.2618408203125,1488.3621826171875,1373.1953572788505,196.1242167372202
42,1371.6094970703125,1491.076416015625,1372.9863845402235,196.48284286299167
43,1367.219482421875,1493.9263916015625,1372.2264627061747,196.8591212650926
44,1362.3485107421875,1488.04052734375,1370.9248119752747,196.08407158562173
45,1368.79833984375,1484.068603515625,1370.6445990478253,195.56109001473507
46,1371.9630126953125,1491.26806640625,1370.8183314608325,196.5101014472832
47,1373.076904296875,1488.1990966796875,1371.1159526052775,196.10592638303626
48,1374.484130859375,1484.0037841796875,1371.559791278767,195.553269849202
49,1369.7545166015625,1489.337890625,1371.3219026627967,196.25630048807372
50,1383.084716796875,1495.8084716796875,1372.871938812349,197.10905719348392
51,1379.102294921875,1499.7559814453125,1373.692939707051,197.62931379132544
52,1372.064453125,1504.7042236328125,1373.4783469442862,198.28142279597898
53,1366.52197265625,1493.0748291015625,1372.5616750344748,196.7490101039617
54,1377.3533935546875,1494.0582275390625,1373.1931008768454,196.87862943016296
55,1356.735595703125,1478.456298828125,1371.0244227040444,194.8227189275732
56,1344.1077880859375,1473.3167724609375,1367.477498497797,194.14547910074646
57,1364.4432373046875,1496.0498046875,1367.0776604277667,197.14112546867213
58,1366.9951171875,1486.57373046875,1367.0667833379096,195.89243156932383
59,1380.5665283203125,1497.1617431640625,1368.8457048421524,197.28766904234416
60,1376.1434326171875,1497.53515625,1369.8073589535848,197.3368813439318
61,1378.532958984375,1505.925048828125,1370.9571701818468,198.4424594244021
62,1376.482177734375,1500.83984375,1371.6852250786342,197.77236268858599
63,1380.3048095703125,1501.6119384765625,1372.8210662009242,197.8741076312792
64,1379.5745849609375,1513.49853515625,1373.711007521234,199.4404594889243
65,1383.927001953125,1498.88134765625,1375.0572147301446,197.5142888897211
66,1385.8924560546875,1504.9490966796875,1376.4850228754954,198.31386438162477
67,1392.6268310546875,1506.2313232421875,1378.6121010462052,198.48282993709242
68,1385.6075439453125,1509.0423583984375,1379.5339218092263,198.85325322680006
69,1385.9853515625,1504.1202392578125,1380.3840555316674,198.2046440713947
70,1389.1373291015625,1503.6500244140625,1381.537513500134,198.14268211731675
71,1386.1368408203125,1493.3648681640625,1382.1435874120123,196.7873613906089
72,1376.9779052734375,1499.118896484375,1381.4628823944083,197.54559561484706
73,1377.33447265625,1491.31201171875,1380.9188633955096,196.51684767673956
74,1382.38623046875,1495.47021484375,1381.112224911758,197.06479279790977
75,1380.26025390625,1494.8526611328125,1380.9999568852354,196.98341507216665
76,1373.107177734375,1495.6416015625,1379.959890106425,197.087377343157
77,1375.9830322265625,1495.9947509765625,1379.435841772262,197.1339134686377
78,1372.9034423828125,1493.5697021484375,1378.5750383133036,196.8143539847138
79,1374.9346923828125,1492.4188232421875,1378.095333662318,196.66269755611745
80,1374.57666015625,1491.8243408203125,1377.6316623303703,196.58435997177293
81,1369.179931640625,1484.4432373046875,1376.5179400086677,195.61171899298049
82,1375.2064208984375,1494.254150390625,1376.3451152746445,196.90454686481675
83,1379.498046875,1483.0869140625,1376.7605911613468,195.43299023905465
84,1363.9920654296875,1475.609375,1375.0780254660344,194.44764150808993
85,1381.492431640625,1481.020751953125,1375.9232804322116,195.16072283648873
86,1380.996337890625,1493.1663818359375,1376.591779883883,196.7612067661103
87,1381.4407958984375,1482.682861328125,1377.2307563933146,195.37974642313466
88,1382.4622802734375,1487.3067626953125,1377.9201376735439,195.98905857167395
89,1371.77734375,1498.371337890625,1377.110674267418,197.44708709200194
90,1373.30517578125,1486.8692626953125,1376.609206725941,195.93140724446187
91,1378.9154052734375,1489.703857421875,1376.9131048144516,196.3049344597106
92,1379.2044677734375,1490.973388671875,1377.2150479511681,196.4722262664916
93,1375.421142578125,1486.8328857421875,1376.9786570235822,195.92661369295496
94,1380.747314453125,1489.0821533203125,1377.4752698543994,196.2230097336214
95,1370.78125,1480.6175537109375,1376.5931689440365,195.1075916169035
96,1386.6495361328125,1489.013671875,1377.9183413882656,196.2139856280729
97,1377.12353515625,1489.0115966796875,1377.813606219253,196.21371217048446
98,1371.743408203125,1490.42529296875,1377.013709100244,196.40000124813156
99,1375.3858642578125,1493.1080322265625,1376.7992007108642,196.75351778882234
100,1372.9923095703125,1489.6805419921875,1376.2975496530864,196.30186208398717
101,1365.0506591796875,1489.1451416015625,1374.8154966354434,196.2313099819793
102,1383.170654296875,1488.2237548828125,1375.9164930979143,196.10989473660993
103,1376.722900390625,1480.840576171875,1376.0227569905376,195.13698028404428
104,1379.05078125,1483.0706787109375,1376.421773278804,195.4308508614946
105,1374.120361328125,1485.358642578125,1376.118505941542,195.73234608471608
106,1377.1474609375,1491.6241455078125,1376.2540959395408,196.55797940497598
107,1378.5279541015625,1488.3988037109375,1376.5537323909393,196.1329617030446
108,1373.5889892578125,1483.9837646484375,1376.16305493948,195.551172275915
109,1365.664794921875,1479.086181640625,1374.7796523024663,194.90579587672326
110,1379.5963134765625,1487.8087158203125,1375.4143652700125,196.0552031847373
111,1376.400146484375,1483.1671142578125,1375.544266065876,195.4435586045186
112,1370.48828125,1480.04638671875,1374.878016352566,195.03232639083035
113,1374.14013671875,1478.230224609375,1374.7807826557907,194.79300259363717
114,1364.4246826171875,1467.334716796875,1373.4161130744928,193.3572528394755
115,1369.7392578125,1477.54638671875,1372.9315974255348,194.70289021886572
116,1382.8841552734375,1486.6572265625,1374.2430904490197,195.9034662994854
117,1379.7711181640625,1477.269775390625,1374.9715433646124,194.6664399080428
118,1380.1663818359375,1486.13037109375,1375.6560904446085,195.83404019996405
119,1378.4783935546875,1482.020263671875,1376.0279979376967,195.29243297778697
120,1373.05517578125,1489.8948974609375,1375.636255877231,196.33010866223762
121,1374.1375732421875,1495.117431640625,1375.438767769117,197.01830532949108
122,1387.77734375,1506.543701171875,1377.064677064593,198.52399592719541
123,1381.1287841796875,1501.510009765625,1377.6002226207804,197.86068391609635
124,1376.9158935546875,1489.7164306640625,1377.5100455216202,196.30659129488376
125,1375.3160400390625,1496.10009765625,1377.220931614639,197.1477956216961
126,1382.856201171875,1486.4627685546875,1377.9635162670186,195.87784169880666
127,1378.4559326171875,1488.1722412109375,1378.0284041699845,196.10310654999094
128,1366.748046875,1481.4610595703125,1376.5419410797037,195.21874415436068
129,1371.3458251953125,1483.99462890625,1375.8572256692794,195.55260390774038
130,1369.24267578125,1478.9864501953125,1374.9855968715153,194.89265381851334
131,1375.067626953125,1492.039794921875,1374.996406341944,196.61275138575724
132,1376.9091796875,1485.357421875,1375.2484610334657,195.73218522726486
133,1383.4967041015625,1493.7314453125,1376.3353688821949,196.83566771735616
134,1379.3741455078125,1497.28955078125,1376.7358020577997,197.30453517539087
135,1389.2691650390625,1503.599609375,1378.3873793067776,198.13603979460075
136,1383.1322021484375,1487.3580322265625,1379.0126258162286,195.99581459359294
137,1372.5567626953125,1484.7413330078125,1378.1619078829046,195.6510004440653
138,1393.7347412109375,1506.6832275390625,1380.2140097222236,198.5423819401138
139,1390.0965576171875,1493.1351318359375,1381.5162772213503,196.75708882575125
